,Artist,manual_love_count,manual_money_count,manual_violence_count,manual_drugs_count,manual_gendered_count,manual_sadness_count,manual_joy_count,manual_yes_count,manual_no_count,unique_words,total_words,featured_count,producer_count,writer_count,manual_love_word_percent,manual_money_word_percent,manual_violence_word_percent,manual_drugs_word_percent,manual_gendered_word_percent,manual_sadness_word_percent,manual_joy_word_percent,manual_yes_word_percent,manual_no_word_percent,gender,genre
24,Led Zeppelin,7.7,0.4,0.05,0.0,26.85,0.3,0.8,0.9,7.25,107.15,250.6,0.0,1.0,2.75,3.073,0.16,0.02,0.0,10.714,0.12,0.319,0.359,2.893,male,rock
25,Nirvana,0.9,0.0,1.65,0.0,25.65,0.15,0.8,0.3,6.65,68.35,225.4,0.0,1.1,1.15,0.399,0.0,0.732,0.0,11.38,0.067,0.355,0.133,2.95,male,rock
26,Queens of the Stone Age,1.7,0.15,0.2,0.65,17.25,0.05,0.35,0.45,5.15,92.6,199.95,0.25,2.65,3.05,0.85,0.075,0.1,0.325,8.627,0.025,0.175,0.225,2.576,male,rock
27,The Rolling Stones,2.05,0.2,1.55,0.1,25.15,0.2,0.4,0.45,6.65,89.7,248.25,0.0,1.3,2.05,0.826,0.081,0.624,0.04,10.131,0.081,0.161,0.181,2.679,male,rock
28,The Strokes,1.05,0.1,0.55,0.0,22.7,0.1,0.25,0.6,8.4,106.1,240.9,0.0,1.1,3.25,0.436,0.042,0.228,0.0,9.423,0.042,0.104,0.249,3.487,male,rock
29,The White Stripes,2.75,0.35,0.5,0.0,34.85,0.25,0.55,0.35,8.25,108.25,258.25,0.05,1.0,1.15,1.065,0.136,0.194,0.0,13.495,0.097,0.213,0.136,3.195,male,rock
30,Al Green,10.6,0.05,0.05,0.0,22.6,0.3,1.05,0.75,4.9,90.45,246.6,0.0,1.2,1.8,4.298,0.02,0.02,0.0,9.165,0.122,0.426,0.304,1.987,male,soul
31,Aretha Franklin,9.2,0.25,0.2,0.0,23.1,0.35,3.0,2.2,5.4,87.7,307.55,0.05,1.6,1.6,2.991,0.081,0.065,0.0,7.511,0.114,0.975,0.715,1.756,female,soul
32,Clarence Carter,6.1,0.35,0.15,0.0,28.95,0.2,0.45,0.55,7.35,110.65,273.95,0.0,0.9,1.75,2.227,0.128,0.055,0.0,10.568,0.073,0.164,0.201,2.683,male,soul
33,Curtis Mayfield,3.3,0.5,0.55,0.1,38.65,0.2,1.75,0.6,7.25,127.05,311.35,0.0,1.15,1.15,1.06,0.161,0.177,0.032,12.414,0.064,0.562,0.193,2.329,male,soul
34,Marvin Gaye,14.45,0.35,0.05,0.0,29.15,0.2,0.95,0.65,6.95,111.1,320.3,0.0,1.15,2.05,4.511,0.109,0.016,0.0,9.101,0.062,0.297,0.203,2.17,male,soul
35,Minnie Riperton,7.2,0.05,0.05,0.05,18.0,0.0,1.2,1.25,4.0,76.45,222.2,0.2,1.65,2.25,3.24,0.023,0.023,0.023,8.101,0.0,0.54,0.563,1.8,female,soul
36,Nina Simone,3.45,0.15,0.25,0.0,20.8,0.25,0.45,0.55,5.8,84.5,220.0,0.0,1.0,1.7,1.568,0.068,0.114,0.0,9.455,0.114,0.205,0.25,2.636,female,soul
37,Otis Redding,9.4,0.15,0.1,0.0,20.95,0.1,1.25,1.1,7.2,81.15,227.15,0.1,1.65,1.9,4.138,0.066,0.044,0.0,9.223,0.044,0.55,0.484,3.17,male,soul
38,Sam Cooke,4.2,0.4,0.05,0.0,26.9,0.0,0.8,1.05,11.35,71.35,223.65,0.0,2.0,1.5,1.878,0.179,0.022,0.0,12.028,0.0,0.358,0.469,5.075,male,soul
39,Stevie Wonder,13.3,0.35,0.2,0.0,33.3,0.65,3.6,1.9,8.85,117.05,365.05,0.1,1.25,1.4,3.643,0.096,0.055,0.0,9.122,0.178,0.986,0.52,2.424,male,soul
